dataset,budget_fraction,method,mean_worst_value,mean_value,blocks,feasible_rate,max_solver_gap,ours_worst_value,gain_of_ours_pct
road,0.05,StructuralRobust,45.28577421589862,59.06015279100219,45,1.0,0.0,45.28577421589862,0.0
road,0.05,TemporalContext2024,45.104291751260355,58.84071392504565,45,1.0,,45.28577421589862,0.4023618542534669
road,0.1,CalibratedUncertainty2025,65.86271024132976,87.51364082270908,45,1.0,,66.3420172341096,0.7277365158882698
road,0.1,ExpectedActionValue,18.772467749260002,24.625794810501965,45,1.0,,66.3420172341096,253.40061903542096
road,0.1,GroupAware2025,66.18598797659074,88.0047597647443,45,1.0,,66.3420172341096,0.23574364044252497
road,0.1,MappedPTO2026,65.99184286648024,87.75830415638296,45,1.0,,66.3420172341096,0.5306328061452442
road,0.1,NetworkPropagation2024,65.65260397345955,87.26703003415486,45,1.0,,66.3420172341096,1.050092789813418
road,0.1,PointwiseWorstAction,18.806805883657816,24.6678080759082,45,1.0,,66.3420172341096,252.75536762868137
road,0.1,RiskFirst,66.22101552431091,88.07582015624826,45,1.0,,66.3420172341096,0.18272403230401796
road,0.1,RobustImprovement2025,66.37122950073442,88.2832879426661,45,1.0,,66.3420172341096,-0.04401344806259349
road,0.1,ScenarioCVaR,18.752811357763104,24.579270436178135,45,1.0,,66.3420172341096,253.77104780956475
road,0.1,StructuralRobust,66.3420172341096,88.1955427063899,45,1.0,0.0,66.3420172341096,0.0
road,0.1,TemporalContext2024,65.51849560379053,87.06949871751652,45,1.0,,66.3420172341096,1.2569300053822268
road,0.2,CalibratedUncertainty2025,91.1924526029744,123.17375725946398,45,1.0,,91.82339212596695,0.6918769097476487
road,0.2,ExpectedActionValue,36.632610756153724,48.00869887257374,45,1.0,,91.82339212596695,150.6602456952703
road,0.2,GroupAware2025,91.43860680415689,123.55918364582877,45,1.0,,91.82339212596695,0.4208127565134381
road,0.2,MappedPTO2026,91.39338686669349,123.56315849964318,45,1.0,,91.82339212596695,0.47049931512075766
road,0.2,NetworkPropagation2024,91.03964635434875,123.0251680140883,45,1.0,,91.82339212596695,0.8608840247112433
road,0.2,PointwiseWorstAction,36.58295213006698,47.92803554023191,45,1.0,,91.82339212596695,151.00049826350312
road,0.2,RiskFirst,91.57215088830071,123.79788794451568,45,1.0,,91.82339212596695,0.2743642419983105
road,0.2,RobustImprovement2025,91.76108205680883,124.13014341142349,45,1.0,,91.82339212596695,0.06790468002495863
road,0.2,ScenarioCVaR,36.55970598085996,47.89774814359195,45,1.0,,91.82339212596695,151.16009459714772
road,0.2,StructuralRobust,91.82339212596695,124.07373667688319,45,1.0,0.0,91.82339212596695,0.0
road,0.2,TemporalContext2024,91.05576050289953,123.0187445301869,45,1.0,,91.82339212596695,0.8430346623077977
