dataset,fold_id,partition,block_id,budget_fraction,method,selected_n,predicted_worst_value,realized_worst_value,realized_mean_value,realized_scenario_spread,solver_gap,feasible
road,4,test,2012-06-07,0.2,RobustImprovement2025,166.0,41.3138457102476,165.12665684532655,218.71677768370438,107.36440909723083,,1.0
road,4,test,2012-06-08,0.01,StructuralRobust,8.0,19.02578762333631,12.466626751603204,15.886063496288154,6.637349351455651,0.0,1.0
road,4,test,2012-06-08,0.01,ExpectedActionValue,8.0,11.754964408528394,1.646820221820648,2.3927967544757616,1.4904415468453163,,1.0
road,4,test,2012-06-08,0.01,PointwiseWorstAction,8.0,11.97444340156214,1.8445627799201092,2.671879527189024,1.6882474781359114,,1.0
road,4,test,2012-06-08,0.01,ScenarioCVaR,8.0,11.754964408528394,1.646820221820648,2.3927967544757616,1.4904415468453163,,1.0
road,4,test,2012-06-08,0.01,RiskFirst,8.0,1.7966963465815697,12.466626751603203,15.886063496288156,6.637349351455649,,1.0
road,4,test,2012-06-08,0.01,TemporalContext2024,8.0,1.7966963465815697,12.466626751603204,15.886063496288156,6.637349351455651,,1.0
road,4,test,2012-06-08,0.01,NetworkPropagation2024,8.0,1.7966963465815697,12.466626751603203,15.886063496288154,6.637349351455649,,1.0
road,4,test,2012-06-08,0.01,CalibratedUncertainty2025,8.0,1.63852633759203,11.307089565292031,14.451427954531345,6.123273448941855,,1.0
road,4,test,2012-06-08,0.01,MappedPTO2026,8.0,1.909534353511594,12.167141553733801,15.546119924276507,6.577193744914515,,1.0
road,4,test,2012-06-08,0.01,GroupAware2025,8.0,1.7966963465815697,12.466626751603203,15.886063496288156,6.637349351455649,,1.0
road,4,test,2012-06-08,0.01,RobustImprovement2025,8.0,1.7625011605836087,12.977503034919934,16.62338590246039,7.148466706053856,,1.0
road,4,test,2012-06-08,0.03,StructuralRobust,25.0,45.87058522792449,26.43745620649745,34.56451045092262,16.086913140858208,0.0,1.0
road,4,test,2012-06-08,0.03,ExpectedActionValue,25.0,23.783571988165495,3.607035478755046,4.89202313181019,2.511591107992553,,1.0
road,4,test,2012-06-08,0.03,PointwiseWorstAction,25.0,23.92721841337493,3.468672359436422,4.742882675097033,2.4995204901106765,,1.0
road,4,test,2012-06-08,0.03,ScenarioCVaR,25.0,23.831349751193176,3.7145318524038506,5.046174240173413,2.571168862492768,,1.0
road,4,test,2012-06-08,0.03,RiskFirst,25.0,4.066358463055051,25.965914791550713,33.97094080193766,15.858669124147813,,1.0
road,4,test,2012-06-08,0.03,TemporalContext2024,25.0,4.2688338443369975,26.157642980032026,34.220937110372645,15.971005407705793,,1.0
road,4,test,2012-06-08,0.03,NetworkPropagation2024,25.0,4.0472573376249406,27.01059001306694,35.30516931272751,16.410334748770495,,1.0
road,4,test,2012-06-08,0.03,CalibratedUncertainty2025,25.0,4.197795966777146,27.807941378722152,36.31986712238409,16.82712077762611,,1.0
road,4,test,2012-06-08,0.03,MappedPTO2026,25.0,4.048842251809398,25.79593194151215,33.7410529612925,15.737807832693058,,1.0
road,4,test,2012-06-08,0.03,GroupAware2025,25.0,4.06635846305505,25.965914791550713,33.97094080193766,15.858669124147813,,1.0
road,4,test,2012-06-08,0.03,RobustImprovement2025,25.0,4.0663584630550496,25.96591479155071,33.97094080193766,15.858669124147816,,1.0
road,4,test,2012-06-08,0.05,StructuralRobust,41.0,27.847012181950646,35.667028841444306,47.25425494567896,23.108965505434284,0.0,1.0
road,4,test,2012-06-08,0.05,ExpectedActionValue,41.0,32.37393944465657,8.631542657254581,11.12893356680614,4.847038104900447,,1.0
road,4,test,2012-06-08,0.05,PointwiseWorstAction,41.0,32.39650844357936,9.081250172713993,11.769034480451321,5.238232078925012,,1.0
road,4,test,2012-06-08,0.05,ScenarioCVaR,41.0,32.39650844357936,9.081250172713993,11.769034480451321,5.238232078925012,,1.0
road,4,test,2012-06-08,0.05,RiskFirst,41.0,5.758718500400709,35.83860157306308,47.58977327018322,23.534124104339746,,1.0
road,4,test,2012-06-08,0.05,TemporalContext2024,41.0,5.90158489542217,35.66416797533766,47.34508117909955,23.38928810779347,,1.0
road,4,test,2012-06-08,0.05,NetworkPropagation2024,41.0,5.813383745748738,35.623140489276054,47.2740331475509,23.276184145579123,,1.0
road,4,test,2012-06-08,0.05,CalibratedUncertainty2025,41.0,7.810768025803222,36.80826499569355,48.73745205781088,23.8390751592896,,1.0
road,4,test,2012-06-08,0.05,MappedPTO2026,41.0,6.539544510864194,35.729996731063494,47.452690646891206,23.48151293966741,,1.0
road,4,test,2012-06-08,0.05,GroupAware2025,41.0,6.381539459802605,35.702222857764255,47.39586822392145,23.367771119947477,,1.0
road,4,test,2012-06-08,0.05,RobustImprovement2025,41.0,8.901684150466338,36.01938677630673,47.824816969509314,23.637201890221462,,1.0
road,4,test,2012-06-08,0.1,StructuralRobust,83.0,81.50764762298859,50.86573071078711,68.69136288452925,35.99109320337295,0.0,1.0
road,4,test,2012-06-08,0.1,ExpectedActionValue,83.0,48.03374183503275,17.581167195301223,22.609385238185325,9.796066444110032,,1.0
road,4,test,2012-06-08,0.1,PointwiseWorstAction,83.0,48.030898836081036,17.51875375390467,22.546971796788764,9.796066444110025,,1.0
road,4,test,2012-06-08,0.1,ScenarioCVaR,83.0,48.030898836081036,17.518753753904665,22.546971796788764,9.796066444110032,,1.0
road,4,test,2012-06-08,0.1,RiskFirst,83.0,15.78773951275981,50.140639330242344,67.91523614427474,35.946864960601424,,1.0
road,4,test,2012-06-08,0.1,TemporalContext2024,83.0,15.140009288360513,51.186750358373594,69.19102289489771,36.378109809858834,,1.0
road,4,test,2012-06-08,0.1,NetworkPropagation2024,83.0,15.330934074125368,51.12422127800909,69.10447131604992,36.27409869919843,,1.0
road,4,test,2012-06-08,0.1,CalibratedUncertainty2025,83.0,15.131789447180298,51.30988137698136,69.3289313436182,36.38689742276126,,1.0
road,4,test,2012-06-08,0.1,MappedPTO2026,83.0,15.787739512759808,50.14063933024235,67.91523614427473,35.94686496060143,,1.0
road,4,test,2012-06-08,0.1,GroupAware2025,83.0,15.751732125410916,50.22709125557177,68.00168806960417,35.94686496060144,,1.0
road,4,test,2012-06-08,0.1,RobustImprovement2025,83.0,15.643289314063828,49.92810780546986,67.5866945203376,35.661374047811414,,1.0
road,4,test,2012-06-08,0.2,StructuralRobust,166.0,52.13148145818067,73.22303128225509,101.0284709642506,56.7851287346639,0.0,1.0
road,4,test,2012-06-08,0.2,ExpectedActionValue,166.0,66.8346867302488,32.16540227998168,41.88553226258393,19.215392291811774,,1.0
road,4,test,2012-06-08,0.2,PointwiseWorstAction,166.0,66.9629096988418,31.869679639378763,41.46807852617432,18.9560119161775,,1.0
road,4,test,2012-06-08,0.2,ScenarioCVaR,166.0,66.85635915733633,31.587049662488358,41.06645751964229,18.71969010761318,,1.0
road,4,test,2012-06-08,0.2,RiskFirst,166.0,25.47890177945723,72.98035855167284,100.66813940552302,56.599893481528355,,1.0
road,4,test,2012-06-08,0.2,TemporalContext2024,166.0,23.599157932206488,72.28402162640477,99.58472287183169,55.57211731026099,,1.0
road,4,test,2012-06-08,0.2,NetworkPropagation2024,166.0,25.58721211236683,72.61125464230054,100.17895997746395,56.38506504257447,,1.0
road,4,test,2012-06-08,0.2,CalibratedUncertainty2025,166.0,27.342598256285573,72.78711112005833,100.45125507172877,56.5477502391651,,1.0
road,4,test,2012-06-08,0.2,MappedPTO2026,166.0,25.451945592030928,72.94252979486326,100.58493493608212,56.56391636932382,,1.0
road,4,test,2012-06-08,0.2,GroupAware2025,166.0,23.60146127637253,72.61180575834355,100.05881639102631,56.067367612408745,,1.0
road,4,test,2012-06-08,0.2,RobustImprovement2025,166.0,25.750863403061715,72.86365403805762,100.55354987530437,56.61983279711994,,1.0
road,4,test,2012-06-11,0.01,StructuralRobust,8.0,22.625725850988033,14.006823178239038,17.968097118252818,7.741046877463987,0.0,1.0
road,4,test,2012-06-11,0.01,ExpectedActionValue,8.0,21.15345097417146,1.4061428741725726,1.9332506643607033,0.9975049915828915,,1.0
road,4,test,2012-06-11,0.01,PointwiseWorstAction,8.0,21.15345097417146,1.4061428741725726,1.9332506643607033,0.9975049915828915,,1.0
road,4,test,2012-06-11,0.01,ScenarioCVaR,8.0,21.15345097417146,1.4061428741725726,1.9332506643607033,0.9975049915828915,,1.0
road,4,test,2012-06-11,0.01,RiskFirst,8.0,1.6866001891636309,14.006823178239037,17.968097118252818,7.7410468774639885,,1.0
road,4,test,2012-06-11,0.01,TemporalContext2024,8.0,1.6866001891636306,14.006823178239035,17.968097118252818,7.74104687746399,,1.0
road,4,test,2012-06-11,0.01,NetworkPropagation2024,8.0,1.6866001891636309,14.006823178239037,17.968097118252818,7.7410468774639885,,1.0
road,4,test,2012-06-11,0.01,CalibratedUncertainty2025,8.0,1.0976824912503391,11.296298795615263,14.59403981187258,6.45486889330906,,1.0
road,4,test,2012-06-11,0.01,MappedPTO2026,8.0,1.6866001891636309,14.006823178239037,17.968097118252818,7.7410468774639885,,1.0
road,4,test,2012-06-11,0.01,GroupAware2025,8.0,1.6866001891636306,14.006823178239035,17.968097118252818,7.74104687746399,,1.0
road,4,test,2012-06-11,0.01,RobustImprovement2025,8.0,1.6206281858016294,12.784335004639832,16.432769796884955,7.142717344236608,,1.0
road,4,test,2012-06-11,0.03,StructuralRobust,25.0,54.566984583217554,25.243668515134882,33.138373789651816,15.652669150388743,0.0,1.0
road,4,test,2012-06-11,0.03,ExpectedActionValue,25.0,41.19151652693439,2.7604435596606853,3.547216953432755,1.407410856564101,,1.0
road,4,test,2012-06-11,0.03,PointwiseWorstAction,25.0,41.168833105863776,2.8705117322918956,3.6734667268845564,1.4255342494831633,,1.0
road,4,test,2012-06-11,0.03,ScenarioCVaR,25.0,41.19151652693439,2.7604435596606853,3.547216953432755,1.407410856564101,,1.0
road,4,test,2012-06-11,0.03,RiskFirst,25.0,3.9648351910127837,25.92354336915547,34.085095243510374,16.219022977527832,,1.0
road,4,test,2012-06-11,0.03,TemporalContext2024,25.0,4.017304828765845,25.850353639432637,33.93072054809885,16.013255785446777,,1.0
road,4,test,2012-06-11,0.03,NetworkPropagation2024,25.0,4.017304828765846,25.85035363943264,33.93072054809885,16.01325578544678,,1.0
road,4,test,2012-06-11,0.03,CalibratedUncertainty2025,25.0,3.748382576320171,24.50518258535376,32.211229390163965,15.301329749665147,,1.0
road,4,test,2012-06-11,0.03,MappedPTO2026,25.0,3.917113544137964,24.85184286292773,32.725443317424926,15.674079582975562,,1.0
road,4,test,2012-06-11,0.03,GroupAware2025,25.0,3.9598296547043064,26.22508646622522,34.48018031165051,16.399541276120914,,1.0
road,4,test,2012-06-11,0.03,RobustImprovement2025,25.0,3.884079795211988,25.344815766980997,33.29932627637378,15.776311317389425,,1.0
road,4,test,2012-06-11,0.05,StructuralRobust,41.0,32.95542860698241,33.11120621633995,44.06802084378395,21.93997379344043,0.0,1.0
road,4,test,2012-06-11,0.05,ExpectedActionValue,41.0,53.176584049906474,6.257174416449816,8.026433952193331,3.3189392220860157,,1.0
road,4,test,2012-06-11,0.05,PointwiseWorstAction,41.0,53.176584049906474,6.257174416449816,8.026433952193333,3.3189392220860174,,1.0
road,4,test,2012-06-11,0.05,ScenarioCVaR,41.0,53.176584049906474,6.257174416449816,8.026433952193331,3.3189392220860157,,1.0
road,4,test,2012-06-11,0.05,RiskFirst,41.0,6.630834956405581,32.99470935191017,43.95925079237252,21.963765920628717,,1.0
road,4,test,2012-06-11,0.05,TemporalContext2024,41.0,6.752734821791916,33.51610107766741,44.61601526718509,22.22887492659069,,1.0
road,4,test,2012-06-11,0.05,NetworkPropagation2024,41.0,6.494227395499155,32.26642778022661,42.848118282924425,21.160231350360576,,1.0
road,4,test,2012-06-11,0.05,CalibratedUncertainty2025,41.0,10.569404581225857,32.975673768363286,43.826181650987685,21.70801064671211,,1.0
road,4,test,2012-06-11,0.05,MappedPTO2026,41.0,6.630834956405579,32.994709351910174,43.95925079237252,21.96376592062871,,1.0
road,4,test,2012-06-11,0.05,GroupAware2025,41.0,10.49095762565793,32.49219941325708,43.24149456791633,21.469290770878835,,1.0
road,4,test,2012-06-11,0.05,RobustImprovement2025,41.0,10.25185358126215,33.28624099601541,44.28095362783843,22.00323694702189,,1.0
road,4,test,2012-06-11,0.1,StructuralRobust,83.0,89.25640438528607,46.72935478892055,63.1424748590666,33.21860203301913,0.0,1.0
road,4,test,2012-06-11,0.1,ExpectedActionValue,83.0,71.2225299293924,14.517932613758244,19.02001989030673,8.7633684303802,,1.0
road,4,test,2012-06-11,0.1,PointwiseWorstAction,83.0,71.40321924996067,14.140319967871473,18.427517961860932,8.300407176602373,,1.0
road,4,test,2012-06-11,0.1,ScenarioCVaR,83.0,71.40171857791599,14.158966651546939,18.446164645536403,8.300407176602368,,1.0
road,4,test,2012-06-11,0.1,RiskFirst,83.0,19.671784723260508,47.90571343183863,64.94612049169388,34.533553968489606,,1.0
road,4,test,2012-06-11,0.1,TemporalContext2024,83.0,18.954364075743044,46.573991672105485,62.893033864486384,32.979781308154635,,1.0
road,4,test,2012-06-11,0.1,NetworkPropagation2024,83.0,18.901910738688105,47.0945892258602,63.716023563761404,33.655202589141474,,1.0
road,4,test,2012-06-11,0.1,CalibratedUncertainty2025,83.0,19.501944014004646,46.56156426761866,62.927621069335814,33.063417439797256,,1.0
road,4,test,2012-06-11,0.1,MappedPTO2026,83.0,19.539074140006456,47.973396196741156,65.03722203179801,34.57988882336391,,1.0
road,4,test,2012-06-11,0.1,GroupAware2025,83.0,19.38459712356759,48.40081771228501,65.67530277136203,35.03550001897428,,1.0
road,4,test,2012-06-11,0.1,RobustImprovement2025,83.0,19.57713705048595,48.24788034761769,65.47519279777228,34.9469346995247,,1.0
road,4,test,2012-06-11,0.2,StructuralRobust,166.0,55.64232100288997,62.980822113518315,86.36658817047307,47.28040694772267,0.0,1.0
road,4,test,2012-06-11,0.2,ExpectedActionValue,166.0,90.05086928418987,26.467569129747073,34.91932397102831,16.598336552305913,,1.0
road,4,test,2012-06-11,0.2,PointwiseWorstAction,166.0,90.21272033192581,26.389851523453256,34.77517506807644,16.43732462439875,,1.0
road,4,test,2012-06-11,0.2,ScenarioCVaR,166.0,90.1961362623596,26.473449893956488,34.898869335202775,16.486090751242816,,1.0
road,4,test,2012-06-11,0.2,RiskFirst,166.0,39.3450123337561,63.45258374209124,87.12629633731764,47.92448462902208,,1.0
road,4,test,2012-06-11,0.2,TemporalContext2024,166.0,38.93379894282839,62.63104158409776,85.72864681606481,46.74819415275297,,1.0
road,4,test,2012-06-11,0.2,NetworkPropagation2024,166.0,39.19968925877288,63.14243021866137,86.61997610106869,47.593249167380584,,1.0
road,4,test,2012-06-11,0.2,CalibratedUncertainty2025,166.0,38.90743103018429,62.828843311831754,86.03814863302625,46.98049731069698,,1.0
road,4,test,2012-06-11,0.2,MappedPTO2026,166.0,39.41549410601786,62.88760288049234,86.1625420183329,47.15891721450497,,1.0
road,4,test,2012-06-11,0.2,GroupAware2025,166.0,38.97060913318087,63.28224739486884,86.6989426096923,47.41104820453271,,1.0
road,4,test,2012-06-11,0.2,RobustImprovement2025,166.0,39.3642242995681,64.0507553866299,88.04454975848992,48.55903286649658,,1.0
road,4,test,2012-06-12,0.01,StructuralRobust,8.0,24.701701077484138,15.045199551634898,18.83998356050053,7.378537170549105,0.0,1.0
road,4,test,2012-06-12,0.01,ExpectedActionValue,8.0,23.321561355236334,2.091125159737275,2.9730483940433423,1.8099286809890418,,1.0
road,4,test,2012-06-12,0.01,PointwiseWorstAction,8.0,23.321561355236334,2.091125159737275,2.9730483940433423,1.8099286809890418,,1.0
road,4,test,2012-06-12,0.01,ScenarioCVaR,8.0,23.321561355236334,2.091125159737275,2.9730483940433423,1.8099286809890418,,1.0
road,4,test,2012-06-12,0.01,RiskFirst,8.0,1.7911266951577234,15.045199551634898,18.839983560500524,7.378537170549105,,1.0
road,4,test,2012-06-12,0.01,TemporalContext2024,8.0,1.7911266951577234,15.045199551634898,18.839983560500524,7.378537170549102,,1.0
road,4,test,2012-06-12,0.01,NetworkPropagation2024,8.0,1.7911266951577234,15.045199551634898,18.839983560500524,7.378537170549105,,1.0
road,4,test,2012-06-12,0.01,CalibratedUncertainty2025,8.0,1.7764734558768995,14.357665953925618,17.931042794091336,6.944443455232811,,1.0
road,4,test,2012-06-12,0.01,MappedPTO2026,8.0,1.7911266951577234,15.045199551634898,18.839983560500524,7.378537170549105,,1.0
road,4,test,2012-06-12,0.01,GroupAware2025,8.0,1.7911266951577234,15.045199551634898,18.839983560500524,7.378537170549105,,1.0
road,4,test,2012-06-12,0.01,RobustImprovement2025,8.0,1.7911266951577234,15.045199551634898,18.839983560500524,7.378537170549105,,1.0
road,4,test,2012-06-12,0.03,StructuralRobust,25.0,62.44317616219288,28.909664236901843,37.25442465204213,16.46308970766837,0.0,1.0
road,4,test,2012-06-12,0.03,ExpectedActionValue,25.0,49.10776843509247,4.378637491714711,6.026792570721979,3.1635278082870633,,1.0
road,4,test,2012-06-12,0.03,PointwiseWorstAction,25.0,49.1145519464685,4.290467716900439,5.933879798923861,3.158215651665154,,1.0
road,4,test,2012-06-12,0.03,ScenarioCVaR,25.0,49.1145519464685,4.290467716900439,5.933879798923861,3.158215651665154,,1.0
road,4,test,2012-06-12,0.03,RiskFirst,25.0,5.3373878149256955,28.71794937130107,36.979585288524355,16.28940592174816,,1.0
road,4,test,2012-06-12,0.03,TemporalContext2024,25.0,5.209596835568386,28.56811537568065,36.7394824282684,16.09350783858547,,1.0
road,4,test,2012-06-12,0.03,NetworkPropagation2024,25.0,5.084327285645199,29.299948794747635,37.74588239709555,16.649917652141475,,1.0
