dataset,budget_fraction,method,mean_worst_value,mean_value,blocks,feasible_rate,max_solver_gap,ours_worst_value,gain_of_ours_pct
bts,0.05,RiskFirst,69.04561209622901,102.49167047374345,61,1.0,,73.33562827716226,6.213307479922469
bts,0.05,RobustImprovement2025,75.34770105016892,110.94180411404587,61,1.0,,73.33562827716226,-2.6703837608355987
bts,0.05,ScenarioCVaR,54.79184950491891,81.47976356662474,61,1.0,,73.33562827716226,33.84404603932669
bts,0.05,StructuralRobust,73.33562827716226,108.49477948096535,61,1.0,0.0,73.33562827716226,0.0
bts,0.05,TemporalContext2024,68.81866087071975,102.2295455388574,61,1.0,,73.33562827716226,6.563579339225905
bts,0.1,CalibratedUncertainty2025,147.9721538441795,219.96643959202183,61,1.0,,151.67693692485577,2.503702882217655
bts,0.1,ExpectedActionValue,104.78203833401544,155.75966501718054,61,1.0,,151.67693692485577,44.7547111474895
bts,0.1,GroupAware2025,143.97690575091616,213.91795964456625,61,1.0,,151.67693692485577,5.348101581833453
bts,0.1,MappedPTO2026,143.71312123718621,213.48774662351983,61,1.0,,151.67693692485577,5.541467347665462
bts,0.1,NetworkPropagation2024,147.81713217340328,219.64971793517537,61,1.0,,151.67693692485577,2.6112025681330198
bts,0.1,PointwiseWorstAction,104.19362700576713,154.8903817827379,61,1.0,,151.67693692485577,45.57218256396856
bts,0.1,RiskFirst,145.5531159301171,216.20967654538256,61,1.0,,151.67693692485577,4.207275780807637
bts,0.1,RobustImprovement2025,148.85880400836476,219.8576213887513,61,1.0,,151.67693692485577,1.8931583759954511
bts,0.1,ScenarioCVaR,104.19362700576713,154.8903817827379,61,1.0,,151.67693692485577,45.57218256396856
bts,0.1,StructuralRobust,151.67693692485577,224.70797122774354,61,1.0,0.0,151.67693692485577,0.0
bts,0.1,TemporalContext2024,139.40559418470394,207.09752667833402,61,1.0,,151.67693692485577,8.802618583507515
bts,0.2,CalibratedUncertainty2025,288.02031131290806,428.246622632704,61,1.0,,292.827951981044,1.6692019553137967
bts,0.2,ExpectedActionValue,208.00781752916666,309.2367314995334,61,1.0,,292.827951981044,40.77737820598207
bts,0.2,GroupAware2025,274.2276109300083,407.5146003344517,61,1.0,,292.827951981044,6.782811179353886
bts,0.2,MappedPTO2026,271.7951432401718,403.9843878262275,61,1.0,,292.827951981044,7.738478506323629
bts,0.2,NetworkPropagation2024,277.92980292399415,413.00351747938794,61,1.0,,292.827951981044,5.360399964419822
bts,0.2,PointwiseWorstAction,208.93034208219848,310.57312154536646,61,1.0,,292.827951981044,40.155780660062334
bts,0.2,RiskFirst,273.4400250522574,406.2503487264297,61,1.0,,292.827951981044,7.090376372325656
bts,0.2,RobustImprovement2025,238.0671761867687,353.095775055172,61,1.0,,292.827951981044,23.0022368775922
bts,0.2,ScenarioCVaR,208.93034208219848,310.57312154536646,61,1.0,,292.827951981044,40.155780660062334
bts,0.2,StructuralRobust,292.827951981044,433.316073720016,61,1.0,0.0,292.827951981044,0.0
bts,0.2,TemporalContext2024,272.64424042121914,405.01501233823956,61,1.0,,292.827951981044,7.402948079388084
